"Series Description","Debt service ratio, seasonally adjusted","Mortgage debt service ratio, seasonally adjusted","Consumer debt service ratio, seasonally adjusted","Financial obligations ratio, seasonally adjusted"
"Unit:","Percent","Percent","Percent","Percent"
"Multiplier:","1","1","1","1"
"Currency:","NA","NA","NA","NA"
"Unique Identifier: ","FOR/FOR/DTFD%YPD.Q","FOR/FOR/DTFM%YPD.Q","FOR/FOR/DTFC%YPD.Q","FOR/FOR/DTF%YPD.Q"
"Time Period","DTFD%YPD.Q","DTFM%YPD.Q","DTFC%YPD.Q","DTF%YPD.Q"
2014Q3,9.873528,4.614355,5.259172,15.156039
2014Q4,9.855932,4.558170,5.297762,15.188245
2015Q1,9.918526,4.551638,5.366888,15.341684
2015Q2,9.910980,4.486183,5.424797,15.385551
2015Q3,9.951684,4.459265,5.492419,15.477701
2015Q4,9.926056,4.482595,5.443461,15.522024
2016Q1,9.899920,4.462596,5.437323,15.524459
2016Q2,9.997024,4.462924,5.534100,15.658181
2016Q3,10.059204,4.448135,5.611069,15.726689
2016Q4,10.034980,4.380646,5.654334,15.694053
2017Q1,9.961466,4.330895,5.630570,15.569284
2017Q2,9.959427,4.311772,5.647655,15.557084
2017Q3,9.939079,4.295767,5.643312,15.522042
2017Q4,9.876095,4.249767,5.626328,15.410881
2018Q1,9.733184,4.187290,5.545893,15.177488
2018Q2,9.701680,4.182962,5.518717,15.122951
2018Q3,9.691628,4.158565,5.533064,15.087498
2018Q4,9.741203,4.184951,5.556251,15.120183
2019Q1,9.710218,4.159810,5.550409,15.068170
2019Q2,9.687619,4.130176,5.557444,15.034306
